\,Sensor id,Value 0,Value 1,Value 2  
1.59983E+15,1,-0.56447,-0.11084,-0.54445
1.59983E+15,2,-21.97333,-111.27049,39.61303
1.59983E+15,1,-0.68557,-0.11475,-0.77151
1.59983E+15,2,-23.37718,-109.25626,38.81954
1.59983E+15,1,-0.66652,-0.15625,-0.88723
1.59983E+15,2,-26.5511,-118.16767,40.83377
1.59983E+15,1,-0.7217,-0.16456,-0.81448
1.59983E+15,2,-30.03021,-124.51552,42.72591
1.59983E+15,1,-0.77151,-0.09229,-0.66506
1.59983E+15,2,-28.87051,-127.81152,44.49599
1.59983E+15,1,-0.68117,-0.04785,-0.56691
1.59983E+15,2,-26.18488,-126.65181,43.94665
1.59983E+15,1,-0.63088,-0.0376,-0.49855
1.59983E+15,2,-26.18488,-117.98456,40.46754
1.59983E+15,1,-0.7178,-0.06885,-0.61721
1.59983E+15,2,-25.45244,-113.16263,38.88058
1.59983E+15,1,-0.77981,-0.12403,-0.76711
1.59983E+15,2,-28.44325,-117.80145,40.71169
1.59983E+15,1,-0.88089,-0.10987,-0.76077
1.59983E+15,2,-29.96918,-125.00381,43.82458
1.59983E+15,1,-0.77834,-0.05908,-0.63088
1.59983E+15,2,-29.54192,-133.79315,45.59465
1.59983E+15,1,-0.68361,-0.02197,-0.46535
1.59983E+15,2,-27.34458,-131.53478,43.82458
1.59983E+15,1,-0.77053,0.021,-0.44728
1.59983E+15,2,-28.50429,-123.72204,41.07791
1.59983E+15,1,-0.83352,-0.02539,-0.48781
1.59983E+15,2,-26.73421,-118.41182,40.10132
1.59983E+15,1,-0.87551,-0.0708,-0.60549
1.59983E+15,2,-26.61214,-118.65596,41.62725
1.59983E+15,1,-0.8384,-0.06934,-0.59426
1.59983E+15,2,-28.44325,-128.1167,44.92325
1.59983E+15,1,-0.8301,-0.01953,-0.47951
1.59983E+15,2,-28.26014,-132.45033,46.75436
1.59983E+15,1,-0.89358,0.05713,-0.39454
1.59983E+15,2,-27.5277,-131.71789,46.20502
1.59983E+15,1,-0.79934,0.05469,-0.35694
1.59983E+15,2,-29.05362,-128.72707,42.60384
1.59983E+15,1,-0.85501,0.02734,-0.31642
1.59983E+15,2,-25.51347,-118.59493,41.07791
1.59983E+15,1,-0.83547,0.02246,-0.47365
1.59983E+15,2,-26.12384,-119.26634,40.40651
1.59983E+15,1,-0.93948,0.00781,-0.49953
1.59983E+15,2,-27.83288,-129.0933,46.3271
1.59983E+15,1,-0.99026,0.07178,-0.42531
1.59983E+15,2,-28.99258,-133.97626,47.30369
1.59983E+15,1,-0.84378,0.09424,-0.27931
1.59983E+15,2,-28.13807,-134.52559,45.96088
1.59983E+15,1,-0.84133,0.06983,-0.19971
1.59983E+15,2,-26.91733,-133.24381,44.80117
1.59983E+15,1,-0.89261,0.09571,-0.23145
1.59983E+15,2,-27.10044,-122.80648,43.0311
1.59983E+15,1,-0.97903,0.07324,-0.28516
1.59983E+15,2,-26.85629,-124.08826,42.72591
1.59983E+15,1,-0.94436,0.05713,-0.30226
1.59983E+15,2,-28.80947,-135.44115,47.24265
1.59983E+15,1,-0.93216,0.08252,-0.29981
1.59983E+15,2,-30.21332,-134.52559,46.69332
1.59983E+15,1,-0.92337,0.11426,-0.16797
1.59983E+15,2,-30.21332,-134.52559,47.36473
1.59983E+15,1,-0.93069,0.1836,0.06983
1.59983E+15,2,-25.75762,-130.13092,46.38813
1.59983E+15,1,-0.86868,0.17335,-0.07666
1.59983E+15,2,-23.98755,-116.21448,40.65065
1.59983E+15,1,-0.91556,0.1001,-0.24122
1.59983E+15,2,-25.69658,-117.5573,40.65065
1.59983E+15,1,-1.06839,0.10547,-0.26514
1.59983E+15,2,-28.74844,-125.85833,44.25184
1.59983E+15,1,-1.02689,0.14991,-0.15577
1.59983E+15,2,-29.35881,-134.52559,47.73095
1.59983E+15,1,-0.89846,0.18995,0.02686
1.59983E+15,2,-27.22251,-137.02811,48.70754
1.59983E+15,1,-0.85989,0.18995,0.02637
1.59983E+15,2,-27.89392,-130.13092,45.35051
1.59983E+15,1,-0.95315,0.19385,0.0376
1.59983E+15,2,-27.22251,-126.04144,44.1908
1.59983E+15,1,-0.97757,0.17286,-0.04053
1.59983E+15,2,-27.5277,-125.85833,44.31288
1.59983E+15,1,-0.96194,0.16456,-0.08448
1.59983E+15,2,-28.07703,-129.7647,44.92325
1.59983E+15,1,-0.99026,0.20215,0.02002
1.59983E+15,2,-30.09125,-133.549,46.93747
1.59983E+15,1,-0.93118,0.23194,0.16602
1.59983E+15,2,-30.03021,-133.91522,47.85302
1.59983E+15,1,-0.87405,0.2461,0.24122
1.59983E+15,2,-26.30696,-125.7973,44.37391
1.59983E+15,1,-0.88626,0.23927,0.16944
1.59983E+15,2,-25.3914,-120.91433,42.05451
1.59983E+15,1,-0.9136,0.24024,0.18067
1.59983E+15,2,-25.3914,-114.87167,40.71169
1.59983E+15,1,-0.92679,0.23975,0.12452
1.59983E+15,2,-24.78103,-114.38337,40.10132
1.59983E+15,1,-0.89456,0.18067,0.03467
1.59983E+15,2,-27.34458,-114.62752,39.97925
1.59983E+15,1,-1.00491,0.23243,0.22413
1.59983E+15,2,-28.32118,-125.309,43.94665
1.59983E+15,1,-0.92727,0.2627,0.23487
1.59983E+15,2,-27.89392,-132.08411,47.60887
1.59983E+15,1,-0.81985,0.22462,0.11768
1.59983E+15,2,-28.6874,-133.12174,46.9985
1.59983E+15,1,-0.86428,0.22559,0.18897
1.59983E+15,2,-29.78607,-136.3567,48.40236
1.59983E+15,1,-0.94143,0.34864,0.51125
1.59983E+15,2,-28.62636,-135.25803,49.07376
1.59983E+15,1,-0.80325,0.33448,0.39259
1.59983E+15,2,-26.18488,-123.72204,44.92325
1.59983E+15,1,-0.79202,0.27979,0.31739
1.59983E+15,2,-24.96414,-114.07819,38.0871
1.59983E+15,1,-0.86673,0.28126,0.40724
1.59983E+15,2,-24.71999,-111.81982,40.04028
1.59983E+15,1,-0.8721,0.29347,0.27589
1.59983E+15,2,-24.78103,-110.66012,39.12473
1.59983E+15,1,-0.91214,0.24805,0.29151
1.59983E+15,2,-27.10044,-117.92352,40.95584
1.59983E+15,1,-0.85257,0.29054,0.35011
1.59983E+15,2,-26.5511,-126.10248,44.74013
1.59983E+15,1,-0.81155,0.43507,0.82376
1.59983E+15,2,-24.35377,-116.03137,41.26102
1.59983E+15,1,-0.69436,0.46486,0.86673
1.59983E+15,2,-15.5034,-79.16501,28.6874
1.59983E+15,1,-0.70901,0.459,0.94388
1.59983E+15,2,-9.27763,-41.32206,13.00089
1.59983E+15,1,-0.75295,0.48341,0.99368
1.59983E+15,2,-0.06104,-0.85452,0
1.59983E+15,1,-0.82034,0.45558,0.84182
1.59983E+15,2,7.14133,35.82873,-13.24503
1.59983E+15,1,-0.76418,0.43117,0.90725
1.59983E+15,2,17.33451,73.73272,-26.00177
1.59983E+15,1,-0.68947,0.43898,0.81594
1.59983E+15,2,25.20829,105.65508,-37.5988
1.59983E+15,1,-0.72658,0.41017,0.76907
1.59983E+15,2,29.29777,131.35166,-44.31288
1.59983E+15,1,-0.80569,0.38624,0.51662
1.59983E+15,2,31.00681,149.47966,-54.26191
1.59983E+15,1,-0.79543,0.29102,0.42189
1.59983E+15,2,33.99762,157.59758,-54.87228
1.59983E+15,1,-0.80911,0.28175,0.37843
1.59983E+15,2,36.13392,161.56499,-57.00858
1.59983E+15,1,-0.78909,0.27882,0.34376
1.59983E+15,2,35.70666,160.71047,-56.33717
1.59983E+15,1,-0.8721,0.23682,0.18409
1.59983E+15,2,32.83792,153.01981,-54.0788
1.59983E+15,1,-0.88723,0.21876,0.14649
1.59983E+15,2,31.80029,145.81744,-50.84384
1.59983E+15,1,-0.92386,0.18897,0.03272
1.59983E+15,2,29.54192,136.05152,-48.21924
1.59983E+15,1,-0.9219,0.21046,0.11035
